id,name,pack,band,signature_features,pose,backdrop,palette,status,qc_note
crk-gl-1,Babar Elegant,Gully,Rookie,"tan Pakistani skin tone, neat beard, elegant batting poise, calm star face",textbook cover drive,sunny cricket ground,teal/white,pending,
crk-gl-2,Joe the Anchor,Gully,Rookie,"fair English skin tone, short light hair, boyish anchor grin, lean build",late-cut glide,cricket ground,navy/white,pending,
crk-gl-3,Kane the Kiwi,Gully,Rookie,"fair New Zealand skin tone, short hair, gentle zen-captain face, compact build",soft-hands guide to third man,cricket ground,black/white,pending,
crk-gl-4,Steve the Technician,Gully,Rookie,"fair Australian skin tone, short hair, fidgety shuffle-across stance, intense technician eyes",shuffling leg-side flick,cricket ground,white/forest,pending,
crk-cl-1,AB 360,Club,Pro,"fair South African skin tone, short hair, 360-degree smile, athletic all-angle build",reverse-scoop innovation shot,cricket ground,teal/charcoal,pending,
crk-cl-2,Adam the Glove,Club,Pro,"fair Australian skin tone, keeper gloves, short hair, cheerful destructive grin",walk-and-whack opener swing,cricket ground,white/forest,pending,
crk-cl-3,Yuvi Six-Sixes,Club,Pro,"brown Indian skin tone, stylish hair, six-hitting swagger grin, tall lefty build",six-sixes bat-swing flourish,cricket ground night,royal/gold,pending,
crk-cl-4,Kevin the Switch-Hit,Club,Pro,"fair skin tone, streaked hair, flamboyant swagger, tall frame",switch-hit launch,cricket ground,white/charcoal,pending,
crk-pc-1,Wasim the Sultan,Pace,All-Star,"tan Pakistani skin tone, wavy hair, sultan-of-swing aura, stubble",left-arm inswing delivery,cricket ground,white/teal,pending,
crk-pc-2,Waqar the Toe-Crusher,Pace,All-Star,"tan Pakistani skin tone, wavy hair, reverse-swing menace grin, wiry quick build",toe-crushing yorker delivery,cricket ground,charcoal/crimson,pending,
crk-pc-3,Brett the Speedster,Pace,All-Star,"fair Australian skin tone, blond hair, rock-star fast-bowler grin, athletic sprinter build",full-steam delivery,cricket ground,white/navy,pending,
crk-pc-4,Glenn the Metronome,Pace,All-Star,"fair Australian skin tone, tall thin frame, line-and-length stare, receding hair",relentless seam-up delivery,cricket ground,white/forest,pending,
crk-wl-1,Jacques the Complete,Wall,Icon,"fair South African skin tone, tall broad all-rounder frame, serious complete-cricketer face",monumental cover drive,cricket ground,white/teal,pending,
crk-wl-2,Rahul the Wall,Wall,Icon,"brown Indian skin tone, short hair, patient monk face, pads-forward defense",impregnable forward defense,cricket ground,navy/white,pending,
crk-wl-3,Sourav the Prince,Wall,Icon,"brown Indian skin tone, wavy hair, aggressive prince glare, off-side god aura",off-side cover drive,cricket ground,royal/white,pending,
crk-wl-4,Viru the Sultan,Wall,Icon,"brown Indian skin tone, round cheerful face, mustache, fearless opener grin",see-ball-hit-ball slash,cricket ground,maroon/white,pending,
crk-lg-1,Sir Viv the Master,Legend,Legend,"deep brown skin tone, Antiguan features, commanding swagger, mustache, no-helmet confidence",swaggering front-foot massacre drive,vintage cricket ground,charcoal/gold,pending,
crk-lg-2,Shane the Spin King,Legend,Legend,"fair Australian skin tone, blond spiky hair, sun-cream white nose, leg-spin wizard grin",ball-of-the-century leg-break,cricket ground,white/forest,pending,
crk-lg-3,Muttiah the Wizard,Legend,Legend,"brown Sri Lankan skin tone, broad smile, bendy-wrist action, dark hair",rubber-wrist off-spin delivery,cricket ground,white/navy,pending,
crk-lg-4,Brian 400,Legend,Legend,"brown Trinidadian skin tone, stylish lefty, high backlift, prince grin",record-shattering high-backlift drive,cricket ground,white/crimson,pending,
crk-gt-1,The Little Master,GOAT,GOAT,"brown Indian skin tone, curly short hair, humble genius face, compact perfect-balance build",straight-drive perfection,roaring cricket ground,slate/white,pending,
crk-gt-2,King Kohli,GOAT,GOAT,"brown Indian skin tone, styled beard, fierce intensity, athletic build",aggressive cover drive and stare,cricket ground night,charcoal/crimson,pending,
crk-gt-3,Captain Cool,GOAT,GOAT,"brown Indian skin tone, cool-captain ice face, helicopter-shot wrists, stubble",helicopter-shot whip,cricket ground,forest/white,pending,
crk-gt-4,Beefy Botham,GOAT,GOAT,"fair English skin tone, beefy all-rounder frame, 80s mullet, mustache grin",match-turning all-round charge,vintage cricket ground,navy/cream,pending,
