id,name,pack,band,signature_features,pose,backdrop,palette,status,qc_note
glf-ch-1,Scottie Steady,Clubhouse,Rookie,"short brown hair, calm deadpan face, shuffling footwork",metronome iron swing,sunny 18th green,navy/white,pending,
glf-ch-2,Brooks Major,Clubhouse,Rookie,"muscular gym-built frame, short hair, stone-cold major face",booming driver backswing,18th green,charcoal/white,pending,
glf-ch-3,Annika Ace,Clubhouse,Rookie,"short blond hair, visor, precise athletic build",textbook fairway swing,18th green morning,sky/white,pending,
glf-ch-4,Viktor the Viking,Clubhouse,Rookie,"blond viking stubble, big grin, athletic build",happy-warrior driver swing,18th green,forest/white,pending,
glf-tr-1,Rory Ace,Tour,Pro,"curly brown hair, boyish grin, powerful compact build",flowing driver backswing,18th green,emerald/white,pending,
glf-tr-2,Bryson the Scientist,Tour,Pro,"flat cap, bulky scientist muscles, intense analytic face",single-plane power swing,range-side 18th green,crimson/white,pending,
glf-tr-3,Phil Leftson,Tour,Pro,"lefty stance, dark hair, showman grin",lefty flop shot,18th green crowd,charcoal/white,pending,
glf-tr-4,Tom Clutch,Tour,Pro,"70s cap, friendly midwest smile, wiry build",vintage bump-and-run putt,sepia links green,cream/navy,pending,
glf-in-1,Vijay the Fijian,International,All-Star,"tall build, dark stubble, range-rat grind face",towering driver swing,18th green,black/white,pending,
glf-in-2,DJ the Long Ball,International,All-Star,"tall frame, beard, laid-back cool face",effortless long-drive backswing,18th green,slate/white,pending,
glf-in-3,Justin the Olympic,International,All-Star,"short hair, gold-medal smile, precise build",pure iron at the flag,18th green,white/gold,pending,
glf-in-4,Adam the Aussie,International,All-Star,"dark hair, movie-star looks, perfect-posture build",picture-perfect swing pose,18th green,white/navy,pending,
glf-mj-1,Greg the Shark,Major,Champion,"straw hat, tall aussie frame, shark grin",aggressive driver backswing,seaside links,white/sky,pending,
glf-mj-2,Gary Knight,Major,Champion,"all-black attire, compact fitness-freak build, kind smile",brisk purposeful swing,18th green,black/white,pending,
glf-mj-3,Supermex,Major,Champion,"mustache, merry chatterbox grin, stocky build",merry fade swing,18th green,white/forest,pending,
glf-mj-4,Ben Hawk,Major,Champion,"flat cap, hawk-intense stare, compact perfect-swing build",sepia perfect-swing pose,vintage 18th green,cream/charcoal,pending,
glf-ms-1,Ernie the Big Easy,Masters,Icon,"tall big frame, easy-going smile, smooth tempo",silky big-easy backswing,augusta-style green,white/steel,pending,
glf-ms-2,Nick the Knight,Masters,Icon,"short hair, knight-serious focus face, tall precise build",meticulous iron swing,18th green,navy/white,pending,
glf-ms-3,Bernhard the German,Masters,Icon,"neat blond hair, german precision face, long putter",long-putter roll,18th green,forest/white,pending,
glf-ms-4,Jose Maria the Artist,Masters,Icon,"dark hair, artist's gentle eyes, stocky build",creative short-game touch,augusta-style green,crimson/white,pending,
glf-lg-1,Tiger Forest,Legend,Legend,"cap, fist-pump intensity, sculpted athletic build",iconic fist-pump putt,sunday 18th green,charcoal/white,pending,
glf-lg-2,Goldie Bear,Legend,Legend,"golden-blond hair, bear-sturdy build, wise champion face",high-draw backswing,vintage 18th green,cream/gold,pending,
glf-lg-3,Arnie the King,Legend,Legend,"50s pompadour, rugged charisma, army-adoring smile",hitched-pants driver swing,vintage green crowd,cream/forest,pending,
glf-lg-4,Seve the Magician,Legend,Legend,"dark wavy hair, matador-magician eyes, passionate grin",impossible-escape recovery shot,seaside links,navy/white,pending,
