id,name,pack,band,signature_features,pose,backdrop,palette,status,qc_note
box-cf-1,Sonny Listen,Club Fighter,Rookie,"bald head, heavy menacing brow, scowl",stare-down gloves low,dark smoky ring single spotlight,black/charcoal,approved,regen: visible nipple(s) on chest (Roblox policy) - replaced with smooth featureless toy plastic chest
box-cf-2,Joe Frazzle,Club Fighter,Rookie,"short cropped hair, goatee stubble, aggressive scowl",left-hook lunge,blue corner bright lights,forest green/white,approved,regen: visible nipple(s) on chest (Roblox policy) - replaced with smooth featureless toy plastic chest
box-cf-3,Grillmaster George,Club Fighter,Rookie,"bald, older round jolly face, huge smile",cheerful champion gloves up,golden spotlights roaring crowd,red/gold,approved,regen: visible nipples on chest (Roblox policy) - replaced with smooth toy plastic chest
box-cf-4,Blocky Marciano,Club Fighter,Rookie,"short dark hair, stocky compact build, determined scowl",low crouched stance,sepia vintage ring,white/black,approved,
box-ct-1,Evander Realdeal,Contender,Prospect,"high flat-top fade, lean athletic build, serious focused face",upright tight guard,big arena lights,red/black,approved,
box-ct-2,Lennox Lionheart,Contender,Prospect,"tall lean build, short dread stubble, calm champion face",long jab extended,big arena crowd,white/gold,approved,regen: visible nipple(s) on chest (Roblox policy) - replaced with smooth featureless toy plastic chest
box-ct-3,Oscar Goldenboy,Contender,Prospect,"clean-cut young face, dark wavy hair, charming smile",jab-and-smile,golden arena,gold/white,approved,regen: visible nipple(s) on chest (Roblox policy) - replaced with smooth featureless toy plastic chest
box-ct-4,Manny Packio,Contender,Prospect,"warm tan Filipino skin tone, southeast asian features, short black hair, friendly fierce grin",southpaw left straight blur,roaring crowd ring,blue/red,generated,regen (hub ruling): Filipino presentation per 7c formula v2 (warm tan skin; southeast asian features) + smooth featureless chest
box-pr-1,Ryan Flash,Prospect,Pro,"tan Mexican-American skin tone, styled hair, confident young-star grin, lightning hands",lightning left-hook blur,neon ring lights,white/gold,generated,
box-pr-2,Gervonta the Tank,Prospect,Pro,"deep brown skin tone, compact tank build, short hair, cold stare",crouching power uppercut,dark arena ring,black/silver,generated,
box-pr-3,Devin the Dream,Prospect,Pro,"brown skin tone, short hair, calm technician face, lean build",long-range jab clinic,arena crowd,teal/white,generated,
box-pr-4,Teo the Takeover,Prospect,Pro,"tan Honduran-American skin tone, curly hair, wide showman grin, explosive build",explosive right-hand finish,roaring ring,purple/gold,generated,
box-ti-1,Triple G,Title,All-Star,"short hair, friendly smile hiding power, stocky build",heavy piston jab,arena ring,blue/white,approved,
box-ti-2,Miguel the Warrior,Title,All-Star,"tan Puerto Rican skin tone, bald, stoic warrior face, goatee",left-hook-to-body dig,packed arena crowd,red/white,generated,
box-ti-3,Ricky the Hitman,Title,All-Star,"fair skin tone, stocky everyman build, cheeky grin, short hair",body-shot swarm,roaring home crowd,sky/white,generated,
box-ti-4,Joe the Italian Dragon,Title,All-Star,"fair skin tone, Italian-Welsh features, slim build, dark hair, slippery southpaw smile",southpaw hand-speed flurry,spotlight ring,white/charcoal,generated,
box-ch-1,The Gypsy Monarch,Champion,Champion,"very tall towering frame, shaved head, big beard, playful smirk",arms wide showman,stadium ring,purple/gold,generated,regen (hub ruling): shaved head now honored per pinned row + smooth featureless chest
box-ch-2,Canelito,Champion,Champion,"red hair, trimmed red beard, stocky, cold stare",counterpunch guard,arena crowd,red/white,generated,"laneA: USER-DIRECTED top-20 cross-lane remake — situation replaces stance/static per moment-doctrine; pins kept; frameless, wm cropped · smooth-chest 7b compliant"
box-ch-3,Floyd Moneyweather,Champion,Champion,"shaved head, goatee, smug grin",shoulder-roll defense smirk,vegas-style bright lights,black/gold,generated,"laneA: USER-DIRECTED top-20 cross-lane remake — situation replaces stance/static per moment-doctrine; pins kept; frameless, wm cropped · smooth-chest 7b compliant"
box-ch-4,Usyk the Cat,Champion,Champion,"short hair, lean agile build, gap-tooth smile",cat-like lean-in,arena crowd,navy/white,generated,"regen: visible nipple(s) on chest (Roblox policy) - replaced with smooth featureless toy plastic chest | laneA: USER-DIRECTED top-20 cross-lane remake — situation replaces stance/static per moment-doctrine; pins kept; frameless, wm cropped · smooth-chest 7b compliant"
box-lg-1,Roy Superman,Legend,Icon,"brown skin tone, short hair, supreme-athlete smirk, chiseled build",hands-down taunt hook,spotlight ring,black/gold,generated,
box-lg-2,B-Hop the Executioner,Legend,Icon,"deep brown skin tone, bald, executioner stare, crafty veteran face",philly-shell counter,dark ring,black/grey,generated,
box-lg-3,James Lights Out,Legend,Icon,"brown skin tone, stocky build, slick defensive smirk, short hair",shoulder-roll counter uppercut,vintage ring,purple/black,generated,"laneA: USER-DIRECTED top-20 cross-lane remake — situation replaces stance/static per moment-doctrine; pins kept; frameless, wm cropped · smooth-chest 7b compliant"
box-lg-4,Shane Sugar,Legend,Icon,"brown skin tone, short hair, friendly champion smile, quick build",rapid combo flurry,arena ring,gold/crimson,generated,"laneA: USER-DIRECTED top-20 cross-lane remake — situation replaces stance/static per moment-doctrine; pins kept; frameless, wm cropped · smooth-chest 7b compliant"
box-hv-1,The Bronze Bomber,Heavy,Legend,"deep brown skin tone, very tall rangy frame, bronze glow, coiled right hand",windmill right-hand launch,dark arena ring,bronze/black,generated,
box-hv-2,Anthony Big Josh,Heavy,Legend,"rich brown skin tone, Nigerian-British features, chiseled muscular frame, short hair, polite champion smile",textbook straight right,stadium ring,white/gold,generated,"laneA: USER-DIRECTED top-20 cross-lane remake — situation replaces stance/static per moment-doctrine; pins kept; frameless, wm cropped · smooth-chest 7b compliant"
box-hv-3,Dr. Steelhammer,Heavy,Legend,"fair skin tone, Slavic features, tall clinical build, steel-jawed serious face",piston jab,arena ring,steel blue/white,generated,"laneA: USER-DIRECTED top-20 cross-lane remake — situation replaces stance/static per moment-doctrine; pins kept; frameless, wm cropped · smooth-chest 7b compliant"
box-hv-4,Dr. Ironfist,Heavy,Legend,"fair skin tone, Slavic features, tall statesman build, iron stoic face",heavy straight right,cold-lit arena ring,iron grey/black,generated,"laneA: USER-DIRECTED top-20 cross-lane remake — situation replaces stance/static per moment-doctrine; pins kept; frameless, wm cropped · smooth-chest 7b compliant"
box-br-1,Simply the Best,British,Immortal,"brown skin tone, immaculate mustache, groomed hair, aristocratic chin-up air",gentleman chin-up stance,theatre-style ring,burgundy/gold,generated,
box-br-2,Nigel the Dark Destroyer,British,Immortal,"brown skin tone, shaved head, menacing glare, explosive build",ferocious two-fist assault,90s arena ring,black/red,generated,
box-br-3,Naseem the Prince,British,Immortal,"tan Yemeni-British skin tone, cocky prince smirk, flashy hair, hands-down swagger",hands-down taunt uppercut,spotlight ring,gold/purple,generated,"first gen rejected by safety filter (ethnicity phrasing); reworded to ""tan skin with Middle Eastern features"" - pinned presentation honored"
box-br-4,Frank the People's Champ,British,Immortal,"brown skin tone, big gentle-giant build, warm smile, short hair",big right-hand wave to crowd,roaring national arena,red/white,generated,
