id,name,tier,income_band,signature_features,pose,backdrop,palette,framing,tier_fx,status,qc_note
scg-gt-1,Alfredo Arrow,GOAT,500000+,"fair skin tone, slicked 50s blond-brown hair, commanding general face, all-round athletic build",orchestrating both boxes with arms directing play,sepia grand stadium,ivory/gold,extreme low-angle hero,pure gold glow; one signature VFX REQUIRED; sepia vignette (respectful historic treatment),pending,"Di Stefano - deceased legend, respectful"
scg-gt-2,Ferenc Cannon,GOAT,500000+,"fair skin tone, short dark 50s hair, stocky powerful build, fierce grin",left-foot thunderbolt strike,vintage packed arena,maroon/gold,chest-up portrait,pure gold glow; one signature VFX REQUIRED; sepia vignette (respectful historic treatment),pending,"Puskas - deceased legend, respectful"
scg-gt-3,Gerd Bomber,GOAT,500000+,"fair skin tone, 70s dark side-part hair, stocky box-poacher build, predator eyes",poacher swivel finish in the six-yard box,sepia stadium goalmouth,cream/crimson,off-center dramatic,pure gold glow; one signature VFX REQUIRED; sepia vignette (respectful historic treatment),pending,"Gerd Muller - deceased legend, respectful"
scg-gt-4,Lev Blackspider,GOAT,500000+,"fair skin tone, stern face under flat cap, giant keeper frame, all-black attire",full-stretch spider save,sepia rain stadium,black/silver,extreme low-angle hero,pure gold glow; one signature VFX REQUIRED; sepia vignette (respectful historic treatment),pending,"Yashin - deceased legend, respectful"
scg-ga-1,Virgil Colossus,Galactico,16000+,"dark skin tone, short cropped hair + beard, towering calm build, unbothered captain face",casual headed clearance stroll,stadium night lights,charcoal/amber,low-angle hero,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-ga-2,Roberto Thunderleg,Galactico,16000+,"tan skin tone, shaved head, explosive fullback thighs, joyful grin",knuckleball free-kick strike,sunlit stadium,gold/teal,off-center dynamic,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-ga-3,Cafu Motor,Galactico,16000+,"brown skin tone, short dark hair, tireless smile, lean marathon build",overlapping touchline sprint,stadium afternoon,white/forest,chest-up portrait,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-ga-4,Tibo Longarm,Galactico,16000+,"fair Belgian skin tone, short brown hair, giant lanky keeper frame, cool stare",full-stretch fingertip save,stadium rain lights,steel/crimson,low-angle hero,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-ga-5,Alisson Safehands,Galactico,16000+,"light-brown skin tone, dark hair + full beard, calm monk face, big keeper build",one-handed catch claim,stadium evening,black/gold,low-angle hero,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-ga-6,Peter Greatdane,Galactico,16000+,"fair Danish skin tone, blond 90s hair, huge keeper frame, booming leader roar",star-jump spread save,retro stadium,navy/silver,off-center dynamic,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-ga-7,King Kenny,Galactico,16000+,"fair Scottish skin tone, 70s wavy dark hair, regal grin, elegant striker build",turn-and-finish elegance,retro packed kop end,royal/cream,chest-up portrait,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-ga-8,Hagi Wizard,Galactico,16000+,"fair Romanian skin tone, dark 90s mop hair, fiery magician eyes, stocky lefty build",outside-of-the-boot curler,stadium dusk,amber/charcoal,low-angle hero,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-ga-9,Dino Timeless,Galactico,16000+,"fair Italian skin tone, silver-streak short hair, ageless calm face, keeper frame",poised one-hand claim at 40,sepia stadium,ivory/navy,low-angle hero,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-ga-10,Gordon Stopper,Galactico,16000+,"fair English skin tone, 60s short back-and-sides, acrobat keeper build, kind focused face",impossible point-blank denial,retro sunlit stadium,green/white,off-center dynamic,violet rim-light; one persona-tied VFX encouraged on every card,pending,"Banks - deceased legend, respectful"
scg-ga-11,Ousmane Gold,Galactico,16000+,"dark skin tone, short twists, playful golden grin, explosive winger build",golden-ball trophy lift moment,golden gala stage lights,gold/black,chest-up portrait,violet rim-light; one persona-tied VFX encouraged on every card,pending,culture moment: Ballon dOr 2025
scg-ga-12,Vita Maestro,Galactico,16000+,"light-brown Portuguese skin tone, short dark hair, metronome calm face, compact midfield build",tempo-dictating long ping,stadium night,crimson/white,low-angle hero,violet rim-light; one persona-tied VFX encouraged on every card,pending,
scg-in-1,Bukayo Starboy,International,2500-9000,"dark skin tone, short dark hair, bright starboy smile, quick winger build",cut-inside curl finish,stadium night,crimson/charcoal,low-angle hero,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-in-2,Phil Spark,International,2500-9000,"fair skin tone, short blond-brown hair, cheeky grin, nimble playmaker build",pocket-spin between lines,stadium afternoon,teal/white,off-center dynamic,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
