id,name,pack,band,signature_features,pose,backdrop,palette,status,qc_note
bsb-sd-1,Jackie Steals Home,Sandlot,Rookie,"deep brown skin tone, short 40s haircut, dignified determined face, athletic compact build",fearless swing,sepia vintage ballpark,white/cream,generated,
bsb-sd-2,Lou Ironhorse,Sandlot,Rookie,"fair skin tone, 30s slicked hair, sturdy dependable face, broad shoulders",classic upright stance,old-time ballpark,navy/white,generated,
bsb-sd-3,Bob Clemente,Sandlot,Rookie,"warm brown skin tone, Puerto Rican features, short dark hair, warm proud smile, lithe build",graceful powerful swing,sunset ballpark,white/charcoal,generated,
bsb-sd-4,Mick Mantle,Sandlot,Rookie,"fair skin tone, blond crew cut, boyish grin, switch-hitter shoulders",switch-side power swing,50s sepia ballpark,cream/forest,generated,
bsb-ll-1,Fernando the Kid,Little League,Prospect,"brown skin tone, Dominican features, long dreadlocks, huge joyful grin",bat-flip follow-through,sunset ballpark,sand/teal,generated,
bsb-ll-2,Ronnie A.,Little League,Prospect,"brown skin tone, Venezuelan features, short twists, electric smile, dynamic wiry build",first-pitch ambush swing,night ballpark,crimson/white,generated,7e: tempered pinned electric smile to electric intense eyes
bsb-ll-3,Juan Smooth,Little League,Prospect,"brown skin tone, Dominican features, short hair, relaxed confident smile",patient shuffle-step stance,ballpark crowd,slate/white,generated,7e: tempered pinned relaxed confident smile to relaxed confident focus
bsb-ll-4,Vladdy Junior,Little League,Prospect,"brown skin tone, Dominican features, stocky strong build, big smile",low-pitch golf-style swing,afternoon ballpark,royal/white,generated,
bsb-ml-1,Derek Jet,Minor League,Pro,"light-brown skin tone, mixed-heritage features, clean-cut short hair, calm captain face",inside-out opposite-field swing,night ballpark,navy/white,generated,
bsb-ml-2,Ken the Kid,Minor League,Pro,"brown skin tone, backward cap, megawatt smile, lean athletic build",sweetest uppercut swing,sunset ballpark,aqua/grey,generated,
bsb-ml-3,Ichi the Hit,Minor League,Pro,"Japanese features, slender build, focused calm face, glove-tug ritual",running-start slap swing,ballpark crowd,teal/white,generated,
bsb-ml-4,Pedro Heat,Minor League,Pro,"brown skin tone, Dominican features, short curls, fiery confident smirk",blazing fastball follow-through,roaring ballpark,red/white,generated,
